epoch,accuracy
0.0,0.3543
1.0,0.4721
2.0,0.4924
3.0,0.5685
4.0,0.618
5.0,0.6327
6.0,0.6546
7.0,0.6681
8.0,0.6912
9.0,0.6998
10.0,0.7147
11.0,0.7168
12.0,0.7195
13.0,0.7245
14.0,0.7361
15.0,0.7384
16.0,0.7392
17.0,0.7442
18.0,0.7438
19.0,0.7489
20.0,0.7549
21.0,0.7475
22.0,0.7599
23.0,0.7522
24.0,0.762
25.0,0.7581
26.0,0.766
27.0,0.7608
28.0,0.7555
29.0,0.7537
30.0,0.7629
31.0,0.7583
32.0,0.7594
33.0,0.7663
34.0,0.752
35.0,0.766
36.0,0.7505
37.0,0.7625
38.0,0.7724
39.0,0.7651
40.0,0.7681
41.0,0.7618
42.0,0.7663
43.0,0.7679
44.0,0.7628
45.0,0.7658
46.0,0.7682
47.0,0.7704
48.0,0.7662
49.0,0.7699
